Area fertilzed,,,,Commercial fertilizer,,,,Proportion area fertilized,,,Fertilizer Use ,,,,,,
Consolidated Subdivision,Division No.,Ag subdivision,Year,Number of farms reporting,Acres,Hectares,,Acres,Hectares,,Urea tonnes,,Urea tonnes/acre,,,Urea tonnes in division,
"Wheatlands No. 163, Saskatchewan [CCS470307032]",7,32,2021,42,"62,473","25,282",,0.001882405,0.001882411,,1487000,,0.04,,,2498.92,
"Caron No. 162, Saskatchewan [CCS470307036]",7,36,2021,31,"67,076","27,145",,0.002021101,0.002021124,,1487000,,0.04,,,2683.04,
"Moose Jaw No. 161, Saskatchewan [CCS470307038]",7,38,2021,116,"178,272","72,144",,0.005371604,0.005371595,,1487000,,0.04,,,7130.88,
"Marquis No. 191, Saskatchewan [CCS470307042]",7,42,2021,51,"146,354","59,227",,0.004409866,0.00440984,,1487000,,0.04,,,5854.16,
"Eyebrow No. 193, Saskatchewan [CCS470307047]",7,47,2021,58,"120,473","48,754",,0.003630033,0.003630056,,1487000,,0.04,,,4818.92,
"Enfield No. 194, Saskatchewan [CCS470307053]",7,53,2021,64,"105,844","42,834",,0.003189239,0.003189273,,1487000,,0.04,,,4233.76,
"Canaan No. 225, Saskatchewan [CCS470307058]",7,58,2021,43,"85,869","34,750",,0.002587362,0.002587366,,1487000,,0.04,,,3434.76,
"Victory No. 226, Saskatchewan [CCS470307063]",7,63,2021,74,"121,542","49,186",,0.003662243,0.003662221,,1487000,,0.04,,,4861.68,
"King George No. 256, Saskatchewan [CCS470307066]",7,66,2021,36,"59,854","24,222",,0.001803491,0.001803487,,1487000,,0.04,,,2394.16,
"Coteau No. 255, Saskatchewan [CCS470307067]",7,67,2021,61,"104,371","42,237",,0.003144855,0.003144822,,1487000,,0.04,,,4174.84,
"Maple Bush No. 224, Saskatchewan [CCS470307071]",7,71,2021,30,"54,568","22,083",,0.001644216,0.001644225,,1487000,,0.04,,,2182.72,
"Huron No. 223, Saskatchewan [CCS470307076]",7,76,2021,34,"72,570","29,368",,0.002186643,0.002186641,,1487000,,0.04,,,2902.8,
"Craik No. 222, Saskatchewan [CCS470307091]",7,91,2021,66,"131,415","53,182",,0.003959732,0.00395975,,1487000,,0.04,,,5256.6,
"Swift Current No. 137, Saskatchewan [CCS470308001]",8,1,2021,181,"282,485","114,318",,0.008511698,0.008511727,,1487000,,0.04,,,11299.4,
"Webb No. 138, Saskatchewan [CCS470308006]",8,6,2021,76,"158,001","63,941",,0.004760808,0.004760828,,1487000,,0.04,,,6320.04,
"Gull Lake No. 139, Saskatchewan [CCS470308009]",8,9,2021,38,"48,565","19,654",,0.001463337,0.00146337,,1487000,,0.04,,,1942.6,
"Big Stick No. 141, Saskatchewan [CCS470308016]",8,16,2021,44,"53,980","21,845",,0.001626499,0.001626504,,1487000,,0.04,,,2159.2,
"Enterprise No. 142, Saskatchewan [CCS470308021]",8,21,2021,55,"128,391","51,958",,0.003868614,0.003868615,,1487000,,0.04,,,5135.64,
"Fox Valley No. 171, Saskatchewan [CCS470308024]",8,24,2021,87,"138,847","56,189",,0.004183669,0.004183641,,1487000,,0.04,,,5553.88,
"Pittville No. 169, Saskatchewan [CCS470308028]",8,28,2021,62,"96,074","38,880",,0.002894854,0.002894872,,1487000,,0.04,,,3842.96,
"Riverside No. 168, Saskatchewan [CCS470308031]",8,31,2021,106,"205,651","83,224",,0.006196574,0.006196574,,1487000,,0.04,,,8226.04,
"Saskatchewan Landing No. 167, Saskatchewan [CCS470308038]",8,38,2021,50,"126,435","51,166",,0.003809677,0.003809645,,1487000,,0.04,,,5057.4,
"Lacadena No. 228, Saskatchewan [CCS470308042]",8,42,2021,130,"261,053","105,644",,0.00786592,0.007865891,,1487000,,0.04,,,10442.12,
"Miry Creek No. 229, Saskatchewan [CCS470308046]",8,46,2021,97,"199,878","80,888",,0.006022625,0.006022644,,1487000,,0.04,,,7995.12,
"Clinworth No. 230, Saskatchewan [CCS470308053]",8,53,2021,68,"105,090","42,528",,0.00316652,0.003166489,,1487000,,0.04,,,4203.6,
"Happyland No. 231, Saskatchewan [CCS470308056]",8,56,2021,120,"218,704","88,506",,0.006589881,0.006589854,,1487000,,0.04,,,8748.16,
